Venta Real,Venta Predicha
5544.3,13101.334000000015
8379.0,3736.9758333333357
109890.0,18473.70516227106
432105.6,227624.5708209524
80017.2,304645.75505896827
5703132.46,293284.0277533332
20734.45,16655.55509166665
1374.48,4067.859086666666
97636.44,116614.41028571426
4189.28,17087.786440000007
32401.6,93847.20263122722
1285.24,7231.002056646551
31334.4,20635.691885714285
6970.02,14238.928704285714
1491.0,2927.930761904759
11186.0,3711.31742828283
6941.44,7150.254399999985
4890.58,4690.666395222709
115892.4,200363.8703628571
160444.8,1162078.7119009523
186425.62,278030.61209753406
54109.09,392300.44473547564
232070.4,1008867.8383423378
1415.01,5455.76828777778
49494.31,108850.26168352088
40202.78,31419.36836999999
178192.5,80297.5364000001
556.18,536.047416666667
3078.74,1647.3422749999995
8548.75,14325.482000000002
4730.4,41225.23790000001
36761.76,69817.82176753186
6938.18,14247.193312738093
153980.34,98787.6915835198
7938.0,2720.315569047619
141582.0,117541.83246904759
4445.28,8484.824585220724
7984.86,9470.941695238087
112872.19,30816.012920238096
17544.0,44788.9381
4530.0,940.9422573726274
1359870.45,128804.52413333322
231871.5,39254.52566
1432.8,976.9797000000003
861.0,1665.5442000000007
1374.0,71756.45996142855
98112.0,37838.62969999996
691.74,1165.4210499999995
2178.05,2682.362633333333
13190.94,10598.23179333332
1633.92,1387.0024399999988
5098.31,19806.080209754742
10675.2,5567.795014626551
3607.34,3019.481999999999
264600.0,42361.730338377114
26218.5,12728.042333333338
19808.55,3008.7847498412684
130.23,737.3222542857142
2254.54,855.8701533333337
91325.45,122560.81640288158
6321.0,9904.484471521657
14509.1,23295.006709999998
512.4,1124.8251999999998
868.43,3181.3660666666674
2448.0,1656.4961499999993
10080.0,6384.42766
699.17,1506.0274500000003
51657.15,39929.21928829366
640.76,10353.975900000007
52145.25,26416.683588421056
65478.0,40040.65822070706
2283.12,1838.9801299999997
3326.4,4587.604800000001
2172.9,2430.7002811430216
11984.92,36252.619800000015
199421.28,18292.74397084136
137531.2,110754.15878797874
2231.4,5908.317004999999
2511.6,2419.193055151517
92262.24,58302.21952352946
6573.24,5024.357226666662
130140.0,104377.14045388822
168160.0,36919.62613333334
257712.0,697515.3836842491
762.0,1478.735752380954
33750.0,9445.41042857143
69625.21,100813.35763406123
25453.38,24490.68734666667
43243.2,87695.63990965254
9354.84,8816.097395952385
60208.26,37855.78898809519
7446.6,7332.187719716109
142571.9,16672.92027
5742.0,7842.702564331502
21875.0,6475.814471428571
21169.2,244180.47332857142
3664.52,1511.4954428571427
2160.0,2388.36
17228.64,35082.38755993381
10985.03,14787.229634808808
2134.08,2087.1958866666673
10882.12,4326.585794880952
